PROJECT_ID;NOM;TYPE;SOUS-TYPE;DOMAINE;TECHNO;DATE;COMPLEXITE;LIEN
2;Faites une analyse de ventes pour un e-commerce;Analyse & exploration;Analyse descriptive;Retail / E-commerce;Excel;mai-25;1;https://github.com/MKDataInsight/Projet_02-Faites_une_analyse_de_ventes_pour_un_e-commerce
3;Requêtez une base de données avec SQL;Analyse & exploration;Analyse exploratoire;Secteur public / Open data;SQL;juin-25;1;https://github.com/MKDataInsight/Projet_03-Requetez_une_base_de_donnees_avec_SQL
4;Réalisez une étude de santé publique avec Python;Analyse & exploration;Analyse descriptive;Secteur public / Open data;Python;juil-25;2;https://github.com/MKDataInsight/Projet_04-Realisez_une_etude_de_sante_publique_avec_Python
5;Créez et utilisez une base de données immobilière avec SQL;Analyse & exploration;Analyse descriptive;Secteur public / Open data;SQL;août-25;2;https://github.com/MKDataInsight/Projet_05-Creez_et_utilisez_une_base_de_donnees_immobiliere_avec_SQL
6;Optimisez la gestion des données d'une boutique avec Python;Business Intelligence;Analyse diagnostique;Retail / E-commerce;Python;oct-25;3;https://github.com/MKDataInsight/Projet_06-Optimisez_la_gestion_des_donnees_d_une_boutique_avec_Python
7;Créez un tableau de bord dynamique avec Power BI pour visualiser l'avancement de projets;Analyse & exploration;Dashboard;Management;Power BI;nov-25;3;https://github.com/MKDataInsight/Projet_07-Creez_un_tableau_de_bord_dynamique_avec_Power_BI_pour_visualiser_l_avancement_de_projets
8;Analysez des indicateurs de l'égalité femmes hommes en respect du RGPD;Analyse & exploration;Analyse diagnostique;Ressources humaines;Knime;déc-25;3;https://github.com/MKDataInsight/Projet_08-Analysez_des_indicateurs_de_l_egalite_femmes_hommes_en_respect_du_RGPD
9;Analysez les ventes d'une librairie avec Python;Business Intelligence;Analyse statistique;Retail / E-commerce;Python;janv-26;4;https://github.com/MKDataInsight/Projet_09-Analysez_les_ventes_d_une_librairie_avec_Python
10;Faites une étude sur l'eau potable;Business Intelligence;Dashboard;Secteur public / Open data;Tableau;févr-26;4;https://github.com/MKDataInsight/Projet_10-Faites_une_etude_sur_l_eau_potable
11;Produisez une étude de marché avec Python;Data Science / Machine Learning;Clustering;Retail / E-commerce;Python;mars-26;5;https://github.com/MKDataInsight/Projet_11-Produisez_une_etude_de_marche_avec_Python
12;Détectez des faux billets avec Python;Data Science / Machine Learning;Classification;Finance;Python;avr-26;5;https://github.com/MKDataInsight/Projet_12-Detectez_des_faux_billets_avec_Python
